1,"Bomber man","mini","HFC-BM"
2,"Faxanadu","mini","HFC-FX"
3,"Top Gun Dual Fighters","mini","KDS-OG"
4,"Akumakun Makai no Wana (RPG)","mini","BANDAI"
5,"Seikima 2 (хуита полная)","mini","CBS-SA"
6,"White Lion Densenstu (RPG)","mini","KSC-WE"
7,"Super Chinese 2 (RPG)","mini","CBS-C2"
8,"Karakuri Kengo Den Musashi Lord (ARPG)","mini","SHI-98"
9,"KLAX","mini","HFC-V6"
10,"Bomber King","mini","HFC-BX"
12,"Front Line","mini","TAITO CORP."
13,"Fudou Myouou Den","mini","TFC-FM-5900"
14,"Kakefu Kun no Jump Tengoku","mini","VIC-KX"
15,"Top Gun","mini","KDS-TG"
16,"Rockman 3","mini","CAP-XU"
17,"Dragon Scroll (ARPG)","mini","RC823"
18,"Super Mario Bros. 3","mini","HVC-UM"
20,"Dragon Buster II","mini","NAMCOT"
21,"Magic John","tv.game","JF-30"
22,"Mach Rider","mini","HVC-MR"
23,"Excite bike","mini","HVC-EB"
24,"Wario no Mori","mini","HVC-UW"
25,"Sky Destroyer","mini","TAITO CORP."
26,"Tiny Toon Adventures","mini","RC860"
27,"Jajamaru Gekimaden (RPG)","tv.game","JF-27"
28,"Rockman 5","mini","CAP-5V"
29,"Ninja Ryukenden 2","mini","TCF-NW"
30,"Soccer","mini","HVC-SC"
31,"Nemo Pajama Hero [boxed w/o manual]","mini","CAP-EZ"
32,"Batman (Sunsoft)","mini","sunsoft"
33,"TMNT 激亀忍者伝 (げきかめにんじゃでん)","mini","KDS-GN"
34,"Magical tarutokun","mini","BANDAI"
35,"Star Wars (namcot) [w manual]","mini","NAMCOT"
36,"Willow (RPG)","mini","CAP-WI"
37,"Final Fantasy II (RPG)","mini","SQF-FY"
38,"Final Fantasy III (RPG)","mini","SQF-FC"
39,"Super Mario USA (スーパーマリオUSA)","mini","HVC-MT"
40,"星のカービイ","mini","HVC-KI"
41,"Ultima Exodus (RPG)","mini","PNF-UL"
42,"Super Xevious","mini","NAMCOT"
43,"メタルギア","mini","KDS-ME"
44,"マイティファイナルファぃト","mini","CAP-SD"
45,"ロードランナー","mini","HFC-LR"
46,"迷宮組曲ミロンの大冒険","mini","HFC-KM"
47,"悪魔城伝説","mini","RC845"
48,"Double Dragon II The Revenge","mini","TJC-W2"
49,"ダイナマイトバットマン","mini","sunsoft"
50,"Rockman 4","mini","CAP-4V"
51,"ティーンエージミュータントニンジャタートルズザマンハッタンプロジェクト","mini","RC863"
52,"ドクターマリオ","mini","HVC-VU"
53,"ティーンエージミュータントニンジャタートルズ","mini","RC853"
54,"北斗の拳","mini","TDF-HK"
55,"北斗の拳2","mini","TDF-HO"
56,"聖闘士星矢黄金伝説完結編","mini","SHI-OK"
57,"Double Dragon III The Rosetta Stone (boxed, cib)","mini","TJC-ZW"
58,"戦場の狼 (boxed, cib)","mini","CAP-SJ"
59,"B-ウイング (+damaged box)","mini","DFC-BW"
60,"Ninja Ryukenden","mini","TCF-NY"
61,"チョップリフター","mini","JF-08"
62,"マリオブラザーズ","mini","HVC-MA"
63,"セクロス","mini","NBF-SE"
64,"スーパーマリオブラザーズ","mini","HVC-SM"
65,"コントラ","mini","RC826"
66,"Ninja Ryukenden III","mini","TCF-3N"
67,"Double Dragon","mini","TJC-WD"
68,"ワイワイワールド2 SOS パセリ城","mini","RC850"
69,"わんぱくダック夢冒険","mini","CAP-UK"
70,"ナッツ＆ミルク","mini","HFC-NM"
71,"チャンピオンシップロードランナー","mini","HFC-CR"
72,"高橋名人の冒険島II","mini","HFC-V7"
73,"高橋名人の冒険島III","mini","HFC-4X"
74,"悪魔城すぺしゃるぼくドラキュラくん","mini","RC847"
75,"ダックテルズ2","mini","CAP-DW"
76,"バッキーオヘア","mini","KDS-1V"
77,"闘いの挽歌","mini","CAP-TA"
78,"ビイナリィランド","mini","HFC-BI"
79,"パックマン","mini","NAMCOT"
80,"レイラ","mini","dBF-LY"
81,"ワギャンランド","mini","NAMCOT"
82,"ワギャンランド2","tv.game","NAMCOT"
83,"スカイキッド","mini","NAMCOT"
84,"スターフォース","mini","HFC-SF"
85,"テトリス","mini","BPS-T0"
86,"ダウンタウン熱血行進曲それゆけ大運動会","mini","TJC-UH"
87,"ダウンタウン熱血物語","mini","TJC-DN"
88,"びっくり熱血新記録！はるかなる金メダル","mni","TJC-NK"
89,"ヨッシーのたまご","mini","HVC-YO"
90,"アイスクライマー[front label is gone]","mini",
91,"マッピーランド[cib]","mini","NAMCOT"
92,"魔界村","mini","CAP-MK"
93,"火の鳥","mini","RC817"
94,"ソルブレイン","mini","ANG-OM"
95,"バルーンファイト","mini","HVC-BF"
96,"熱血高校ドッジボール部 サッカー編","mini","TJC-N3"
97,"コナミワイワイワールド","mini","RC825"
98,"アルマジロ","mini","IGS-9T"
99,"チップとデールの大作戦","mini","CAP-JD"
100,"迷宮の達人大迷路","mini","EPO-E7"
101,"ＳＤヒーロー総決戦 倒せ！悪の軍団","mini","BAP-X5"
102,"テニス","mini","HVC-TE"
103,"ヨッシーのクッキー","mini","HVC-CI"
104,"Rockman 2","mini","CAP-XR"
105,"Great tank","mini","SFX-TV"
106,"Battle city","mini","NAMCOT"
107,"Bokosuka wars","mini","HSP-04"
108,"Ganbare goemon gaiden","tv.game","RC840"
109,"RECCA (homebrew repro, ex. top gun dual fighters)",,
110,"PizzaPop!","tv.game","JF-35"
111,"Mad City","mini","KDS-MU"
112,"月風魔伝","mini","RC819"
113,"Tiny Toon Adventures 2","mini","RV051"
114,"Rampart","mini","KDS-73"
115,"Dead Fox","mini","CAP-VP"
116,"Super Contra","mini","KDS-UE"
117,"Mitsume Ga Tooru","mini","TOM-3M"
118,"Jigoku Gokuraku Maru","mini","PAC-9Z"
119,"Warwolf","mini","TFC-W8"
